X,Y,OBJECTID,COUNTY,DESCRIPTION_BSL,DIRECTION_OP,DLAT_GIS,DLONG_GIS,LINE,MUNICIPALITY,STOP_NUM,STOP_TYPE,STREET_DIR,HEADING
-8286508.2225,4773027.7746,1,Atlantic,ATLANTIC AVE AT MISSISSIPPI AVE,Ou,39.35762,-74.43897,505,ATLANTIC CITY,10065,FS,E,
-8286508.2225,4773027.7746,2,Atlantic,ATLANTIC AVE AT MISSISSIPPI AVE,Ou,39.35762,-74.43897,507,ATLANTIC CITY,10065,FS,E,
-8286508.2225,4773027.7746,3,Atlantic,ATLANTIC AVE AT MISSISSIPPI AVE,Ou,39.35762,-74.43897,508,ATLANTIC CITY,10065,FS,E,
-8286508.2225,4773027.7746,4,Atlantic,ATLANTIC AVE AT MISSISSIPPI AVE,Ou,39.35762,-74.43897,509,ATLANTIC CITY,10065,FS,E,
-8286252.99,4773172.2917,5,Atlantic,ATLANTIC AVE AT ARKANSAS AVE,Ou,39.35857,-74.43663,502,ATLANTIC CITY,10066,FS,E,
-8286252.99,4773172.2917,6,Atlantic,ATLANTIC AVE AT ARKANSAS AVE,Ou,39.35857,-74.43663,504,ATLANTIC CITY,10066,FS,E,
-8286252.99,4773172.2917,7,Atlantic,ATLANTIC AVE AT ARKANSAS AVE,Ou,39.35857,-74.43663,505,ATLANTIC CITY,10066,FS,E,
-8286252.99,4773172.2917,8,Atlantic,ATLANTIC AVE AT ARKANSAS AVE,Ou,39.35857,-74.43663,507,ATLANTIC CITY,10066,FS,E,
-8286252.99,4773172.2917,9,Atlantic,ATLANTIC AVE AT ARKANSAS AVE,Ou,39.35857,-74.43663,508,ATLANTIC CITY,10066,FS,E,
-8286252.99,4773172.2917,10,Atlantic,ATLANTIC AVE AT ARKANSAS AVE,Ou,39.35857,-74.43663,509,ATLANTIC CITY,10066,FS,E,
-8285948.0584,4773319.0247,11,Atlantic,ACROSS ATLANTIC AVE AT OHIO AVE,Ou,39.35966,-74.43395,501,ATLANTIC CITY,10067,NS,E,
-8285948.0584,4773319.0247,12,Atlantic,ACROSS ATLANTIC AVE AT OHIO AVE,Ou,39.35966,-74.43395,502,ATLANTIC CITY,10067,NS,E,
-8285948.0584,4773319.0247,13,Atlantic,ACROSS ATLANTIC AVE AT OHIO AVE,Ou,39.35966,-74.43395,504,ATLANTIC CITY,10067,NS,E,
-8285948.0584,4773319.0247,14,Atlantic,ACROSS ATLANTIC AVE AT OHIO AVE,Ou,39.35966,-74.43395,505,ATLANTIC CITY,10067,NS,E,
